Numero de parejas, Tiempo de ejecuci�n
10, 0.00008500 
10, 0.00008320 
10, 0.00007570 
10, 0.00008710 
10, 0.00007660 
10, 0.00008150 
10, 0.00008020 
10, 0.00010610 
10, 0.00008190 
10, 0.00007400 
10, 0.00010020 
10, 0.00008240 
10, 0.00011480 
10, 0.00007530 
10, 0.00008020 
10, 0.00008450 
10, 0.00009210 
10, 0.00007690 
10, 0.00007960 
10, 0.00008390 
10, 0.00007850 
10, 0.00008240 
10, 0.00008880 
10, 0.00009610 
10, 0.00007700 
10, 0.00007560 
10, 0.00011160 
10, 0.00008050 
10, 0.00007860 
10, 0.00007720 
10, 0.00008150 
10, 0.00008260 
10, 0.00009250 
10, 0.00008960 
10, 0.00008250 
10, 0.00010390 
10, 0.00008360 
10, 0.00009220 
10, 0.00009910 
10, 0.00010070 
10, 0.00010980 
10, 0.00014540 
10, 0.00016670 
10, 0.00008940 
10, 0.00009740 
10, 0.00014270 
10, 0.00015300 
10, 0.00008200 
10, 0.00018430 
10, 0.00009090 
20, 0.00024750 
20, 0.00018650 
20, 0.00034160 
20, 0.00024970 
20, 0.00017370 
20, 0.00029510 
20, 0.00027320 
20, 0.00029250 
20, 0.00045360 
20, 0.00032350 
20, 0.00029280 
20, 0.00056220 
20, 0.00037580 
20, 0.00067650 
20, 0.00060510 
20, 0.00032500 
20, 0.00077570 
20, 0.00052980 
20, 0.00048740 
20, 0.00027580 
20, 0.00027190 
20, 0.00028230 
20, 0.00026590 
20, 0.00026920 
20, 0.00028030 
20, 0.00079500 
20, 0.00048300 
20, 0.00028540 
20, 0.00079320 
20, 0.00029590 
20, 0.00025950 
20, 0.00035240 
20, 0.00031350 
20, 0.00055360 
20, 0.00090810 
20, 0.00026830 
20, 0.00029490 
20, 0.00033630 
20, 0.00051100 
20, 0.00049840 
20, 0.00039320 
20, 0.00037320 
20, 0.00028740 
20, 0.00026570 
20, 0.00026170 
20, 0.00031520 
20, 0.00045500 
20, 0.00053020 
20, 0.00025380 
20, 0.00026400 
30, 0.00098400 
30, 0.00084440 
30, 0.00051310 
30, 0.00081100 
30, 0.00082050 
30, 0.00085550 
30, 0.00043090 
30, 0.00046290 
30, 0.00079220 
30, 0.00048120 
30, 0.00040710 
30, 0.00084400 
30, 0.00076020 
30, 0.00079020 
30, 0.00039910 
30, 0.00084440 
30, 0.00055220 
30, 0.00082040 
30, 0.00046190 
30, 0.00089690 
30, 0.00086110 
30, 0.00068230 
30, 0.00055180 
30, 0.00041440 
30, 0.00080440 
30, 0.00078350 
30, 0.00040260 
30, 0.00078830 
30, 0.00092430 
30, 0.00088980 
30, 0.00040350 
30, 0.00038320 
30, 0.00108880 
30, 0.00063720 
30, 0.00086650 
30, 0.00065100 
30, 0.00041690 
30, 0.00040330 
30, 0.00045700 
30, 0.00041920 
30, 0.00090900 
30, 0.00076050 
30, 0.00077950 
30, 0.00043270 
30, 0.00090280 
30, 0.00078710 
30, 0.00041230 
30, 0.00080380 
30, 0.00082970 
30, 0.00077750 
40, 0.00131700 
40, 0.00113180 
40, 0.00218680 
40, 0.00129520 
40, 0.00084230 
40, 0.00063890 
40, 0.00109220 
40, 0.00115910 
40, 0.00115940 
40, 0.00050670 
40, 0.00114550 
40, 0.00100120 
40, 0.00100940 
40, 0.00066180 
40, 0.00092760 
40, 0.00100060 
40, 0.00123190 
40, 0.00056810 
40, 0.00049690 
40, 0.00107360 
40, 0.00123460 
40, 0.00058780 
40, 0.00102710 
40, 0.00102140 
40, 0.00050200 
40, 0.00070730 
40, 0.00061570 
40, 0.00079150 
40, 0.00131480 
40, 0.00061310 
40, 0.00055670 
40, 0.00064210 
40, 0.00052070 
40, 0.00055990 
40, 0.00050850 
40, 0.00101460 
40, 0.00051590 
40, 0.00180280 
40, 0.00050320 
40, 0.00124110 
40, 0.00099060 
40, 0.00109500 
40, 0.00050330 
40, 0.00111730 
40, 0.00049050 
40, 0.00097010 
40, 0.00132460 
40, 0.00104530 
40, 0.00057330 
40, 0.00075160 
50, 0.00080110 
50, 0.00082080 
50, 0.00294850 
50, 0.00128600 
50, 0.00099490 
50, 0.00073210 
50, 0.00172350 
50, 0.00139450 
50, 0.00172330 
50, 0.00080320 
50, 0.00072600 
50, 0.00082040 
50, 0.00082130 
50, 0.00338690 
50, 0.00129910 
50, 0.00153360 
50, 0.00153260 
50, 0.00130350 
50, 0.00071620 
50, 0.00151060 
50, 0.00156740 
50, 0.00147660 
50, 0.00076080 
50, 0.00134540 
50, 0.00074300 
50, 0.00075470 
50, 0.00081320 
50, 0.00086470 
50, 0.00120780 
50, 0.00078720 
50, 0.00183980 
50, 0.00075910 
50, 0.00082120 
50, 0.00162970 
50, 0.00137940 
50, 0.00081490 
50, 0.00157750 
50, 0.00090200 
50, 0.00121590 
50, 0.00118000 
50, 0.00103230 
50, 0.00156450 
50, 0.00214030 
50, 0.00095070 
50, 0.00129000 
50, 0.00165360 
50, 0.00088100 
50, 0.00090150 
50, 0.00166620 
50, 0.00074460 
60, 0.00112610 
60, 0.00124560 
60, 0.00294220 
60, 0.00099960 
60, 0.00123570 
60, 0.00112590 
60, 0.00100560 
60, 0.00118560 
60, 0.00101670 
60, 0.00099080 
60, 0.00095100 
60, 0.00153420 
60, 0.00077620 
60, 0.00062350 
60, 0.00062480 
60, 0.00055140 
60, 0.00056470 
60, 0.00063540 
60, 0.00067720 
60, 0.00060930 
60, 0.00117870 
60, 0.00099180 
60, 0.00058320 
60, 0.00061490 
60, 0.00057000 
60, 0.00059500 
60, 0.00066450 
60, 0.00262310 
60, 0.00082220 
60, 0.00059500 
60, 0.00061090 
60, 0.00064050 
60, 0.00061720 
60, 0.00077380 
60, 0.00131200 
60, 0.00107600 
60, 0.00058020 
60, 0.00126190 
60, 0.00065260 
60, 0.00058750 
60, 0.00153920 
60, 0.00063980 
60, 0.00111790 
60, 0.00122300 
60, 0.00100800 
60, 0.00095420 
60, 0.00090330 
60, 0.00137830 
60, 0.00061290 
60, 0.00096930 
70, 0.00091350 
70, 0.00252220 
70, 0.00516030 
70, 0.00211950 
70, 0.00239320 
70, 0.00522530 
70, 0.00215560 
70, 0.00187060 
70, 0.00128240 
70, 0.00139270 
70, 0.00200640 
70, 0.00149710 
70, 0.00197920 
70, 0.00155290 
70, 0.00142390 
70, 0.00159940 
70, 0.00159710 
70, 0.00161620 
70, 0.00099060 
70, 0.00206120 
70, 0.00154650 
70, 0.00149060 
70, 0.00259900 
70, 0.00362140 
70, 0.00197800 
70, 0.00207280 
70, 0.00149010 
70, 0.00126460 
70, 0.00245570 
70, 0.00078000 
70, 0.00078980 
70, 0.00126100 
70, 0.00149450 
70, 0.00115840 
70, 0.00134980 
70, 0.00174880 
70, 0.00117480 
70, 0.00113840 
70, 0.00091170 
70, 0.00194340 
70, 0.00139250 
70, 0.00173660 
70, 0.00319390 
70, 0.00149120 
70, 0.00183380 
70, 0.00158760 
70, 0.00173580 
70, 0.00171420 
70, 0.00187190 
70, 0.00076010 
80, 0.00119970 
80, 0.00221180 
80, 0.00196470 
80, 0.00223560 
80, 0.00250720 
80, 0.00334410 
80, 0.00166000 
80, 0.00316040 
80, 0.00188730 
80, 0.00223170 
80, 0.00318960 
80, 0.00211440 
80, 0.00146700 
80, 0.00213230 
80, 0.00289110 
80, 0.00271830 
80, 0.00167480 
80, 0.00146300 
80, 0.00154600 
80, 0.00165120 
80, 0.00163060 
80, 0.00314040 
80, 0.00343320 
80, 0.00243000 
80, 0.00217210 
80, 0.00418060 
80, 0.00198500 
80, 0.00511600 
80, 0.00238520 
80, 0.00229720 
80, 0.00299560 
80, 0.00264190 
80, 0.00226310 
80, 0.00234300 
80, 0.00307290 
80, 0.00221040 
80, 0.00422260 
80, 0.00376030 
80, 0.00230630 
80, 0.00490370 
80, 0.00293040 
80, 0.00326580 
80, 0.00180550 
80, 0.00197930 
80, 0.00226180 
80, 0.00497680 
80, 0.00292250 
80, 0.00204250 
80, 0.00258560 
80, 0.00444330 
90, 0.00216030 
90, 0.00388250 
90, 0.00622690 
90, 0.00210520 
90, 0.00256780 
90, 0.00581360 
90, 0.00760630 
90, 0.00316920 
90, 0.00210760 
90, 0.00201890 
90, 0.00201650 
90, 0.00276650 
90, 0.00214700 
90, 0.00212710 
90, 0.00192490 
90, 0.00521020 
90, 0.00398990 
90, 0.00282220 
90, 0.00589750 
90, 0.00187180 
90, 0.00267540 
90, 0.00190740 
90, 0.00412780 
90, 0.00393200 
90, 0.00183050 
90, 0.00215920 
90, 0.00419070 
90, 0.00353820 
90, 0.00206090 
90, 0.00321330 
90, 0.00361650 
90, 0.00183700 
90, 0.00217170 
90, 0.00253520 
90, 0.00405580 
90, 0.00377900 
90, 0.00199060 
90, 0.00260380 
90, 0.00373120 
90, 0.00733300 
90, 0.00252890 
90, 0.00222770 
90, 0.00197850 
90, 0.00445050 
90, 0.00757000 
90, 0.00251480 
90, 0.00688290 
90, 0.00764590 
90, 0.00416880 
90, 0.00563840 
100, 0.00498000 
100, 0.00295460 
100, 0.00697040 
100, 0.00228790 
100, 0.00516030 
100, 0.00473620 
100, 0.00360590 
100, 0.00756780 
100, 0.00580420 
100, 0.00385470 
100, 0.00296000 
100, 0.00524660 
100, 0.00665760 
100, 0.00693940 
100, 0.00858270 
100, 0.00653980 
100, 0.00376770 
100, 0.00851120 
100, 0.00496660 
100, 0.00360530 
100, 0.00436400 
100, 0.00548830 
100, 0.00463830 
100, 0.00406910 
100, 0.00368150 
100, 0.00427010 
100, 0.00565250 
100, 0.00515500 
100, 0.00336000 
100, 0.00474800 
100, 0.00380690 
100, 0.00558520 
100, 0.00351560 
100, 0.00376830 
100, 0.00377580 
100, 0.00280460 
100, 0.00583060 
100, 0.00524720 
100, 0.00206710 
100, 0.00543900 
100, 0.00214310 
100, 0.00208910 
100, 0.00477540 
100, 0.00441070 
100, 0.00211340 
100, 0.00202190 
100, 0.00465910 
100, 0.00432030 
100, 0.00327490 
100, 0.00228460 
110, 0.00309060 
110, 0.00284670 
110, 0.00328750 
110, 0.00619750 
110, 0.00335400 
110, 0.00536880 
110, 0.00291870 
110, 0.00554110 
110, 0.00624290 
110, 0.00590610 
110, 0.00316260 
110, 0.00374210 
110, 0.00439620 
110, 0.00309790 
110, 0.00302790 
110, 0.00381010 
110, 0.00545470 
110, 0.00305890 
110, 0.00354920 
110, 0.00312210 
110, 0.00868390 
110, 0.00505990 
110, 0.01177410 
110, 0.00648170 
110, 0.00615130 
110, 0.00323590 
110, 0.01144760 
110, 0.00510130 
110, 0.00354610 
110, 0.00556090 
110, 0.00365480 
110, 0.00370710 
110, 0.00664930 
110, 0.00420490 
110, 0.00328600 
110, 0.00635480 
110, 0.00303010 
110, 0.00310100 
110, 0.00308230 
110, 0.00555740 
110, 0.00303220 
110, 0.00535030 
110, 0.00504210 
110, 0.00532360 
110, 0.00473370 
110, 0.00308950 
110, 0.00329320 
110, 0.00641420 
110, 0.00618720 
110, 0.00298050 
120, 0.00344020 
120, 0.00663430 
120, 0.00660510 
120, 0.00316720 
120, 0.00565140 
120, 0.00563630 
120, 0.00536530 
120, 0.00631310 
120, 0.00442650 
120, 0.00823260 
120, 0.00556640 
120, 0.00774040 
120, 0.00392550 
120, 0.00336250 
120, 0.00572900 
120, 0.00596960 
120, 0.00907920 
120, 0.00435130 
120, 0.00319160 
120, 0.00362690 
120, 0.00614670 
120, 0.00321080 
120, 0.00652180 
120, 0.00316140 
120, 0.00330910 
120, 0.00361190 
120, 0.00331580 
120, 0.00303560 
120, 0.00322590 
120, 0.00301760 
120, 0.00374480 
120, 0.00417580 
120, 0.00435970 
120, 0.00326970 
120, 0.00657260 
120, 0.00616370 
120, 0.00689580 
120, 0.00304360 
120, 0.00302820 
120, 0.00851240 
120, 0.00614490 
120, 0.00350100 
120, 0.00495600 
120, 0.00596460 
120, 0.00644860 
120, 0.00664970 
120, 0.00297090 
120, 0.00347210 
120, 0.00575410 
120, 0.00398030 
130, 0.00366460 
130, 0.00426150 
130, 0.00711040 
130, 0.00657740 
130, 0.00616880 
130, 0.00329170 
130, 0.00761790 
130, 0.00798390 
130, 0.00373850 
130, 0.00719650 
130, 0.00681490 
130, 0.00777560 
130, 0.00359270 
130, 0.00441210 
130, 0.00338260 
130, 0.00529090 
130, 0.00343480 
130, 0.00395490 
130, 0.00659880 
130, 0.00733620 
130, 0.00472820 
130, 0.00338690 
130, 0.00591250 
130, 0.00758770 
130, 0.00913660 
130, 0.00333850 
130, 0.00483570 
130, 0.00739000 
130, 0.00395020 
130, 0.00336860 
130, 0.00589890 
130, 0.00637510 
130, 0.00635690 
130, 0.00802990 
130, 0.00333910 
130, 0.00758050 
130, 0.00348790 
130, 0.00857610 
130, 0.00382540 
130, 0.00726230 
130, 0.00743060 
130, 0.00675810 
130, 0.00354650 
130, 0.00679120 
130, 0.00717740 
130, 0.00443460 
130, 0.00514760 
130, 0.00624020 
130, 0.00590890 
130, 0.00326610 
140, 0.00626300 
140, 0.00561750 
140, 0.01504900 
140, 0.00451580 
140, 0.00732650 
140, 0.00704250 
140, 0.00495200 
140, 0.00959180 
140, 0.00595940 
140, 0.00524250 
140, 0.00554780 
140, 0.00548470 
140, 0.00980040 
140, 0.00679690 
140, 0.00493280 
140, 0.00604560 
140, 0.00739330 
140, 0.00494000 
140, 0.00722210 
140, 0.00491220 
140, 0.00680890 
140, 0.00524000 
140, 0.00498540 
140, 0.00620730 
140, 0.00543640 
140, 0.00521980 
140, 0.01739760 
140, 0.00576570 
140, 0.01479970 
140, 0.00501200 
140, 0.00675500 
140, 0.00848790 
140, 0.00516570 
140, 0.00855320 
140, 0.00721140 
140, 0.01461930 
140, 0.00880200 
140, 0.00903110 
140, 0.01131780 
140, 0.01112340 
140, 0.00752440 
140, 0.00545200 
140, 0.00933170 
140, 0.00674950 
140, 0.00649560 
140, 0.01317070 
140, 0.00585760 
140, 0.00713290 
140, 0.00489690 
140, 0.01222060 
150, 0.00711020 
150, 0.01372770 
150, 0.00549350 
150, 0.00572200 
150, 0.00557290 
150, 0.01333300 
150, 0.00513010 
150, 0.00559730 
150, 0.01029970 
150, 0.00709300 
150, 0.00478200 
150, 0.00892050 
150, 0.00678070 
150, 0.00497950 
150, 0.00501020 
150, 0.00969570 
150, 0.01035980 
150, 0.00503780 
150, 0.00929030 
150, 0.01198930 
150, 0.01305520 
150, 0.00500050 
150, 0.00971460 
150, 0.00647580 
150, 0.00483240 
150, 0.00590080 
150, 0.00915690 
150, 0.00727860 
150, 0.00719690 
150, 0.00501820 
150, 0.00819530 
150, 0.00656990 
150, 0.00680900 
150, 0.00940320 
150, 0.00910540 
150, 0.00915350 
150, 0.01063890 
150, 0.00491070 
150, 0.00584800 
150, 0.01044770 
150, 0.01437300 
150, 0.00522750 
150, 0.00604980 
150, 0.00914700 
150, 0.00718950 
150, 0.00473350 
150, 0.00909420 
150, 0.00645530 
150, 0.00521130 
150, 0.00776320 
160, 0.00976040 
160, 0.01194240 
160, 0.01422150 
160, 0.00635680 
160, 0.01255030 
160, 0.01082220 
160, 0.00694210 
160, 0.00762500 
160, 0.01343240 
160, 0.01133590 
160, 0.00561020 
160, 0.01327020 
160, 0.00894900 
160, 0.00698950 
160, 0.00564590 
160, 0.00605190 
160, 0.00936710 
160, 0.01177660 
160, 0.01110680 
160, 0.00576130 
160, 0.00641370 
160, 0.00593690 
160, 0.01072540 
160, 0.00642170 
160, 0.01259230 
160, 0.01023180 
160, 0.01312900 
160, 0.00650200 
160, 0.01053330 
160, 0.01151230 
160, 0.01336840 
160, 0.00857340 
160, 0.01017180 
160, 0.01780220 
160, 0.00643810 
160, 0.00987840 
160, 0.01047680 
160, 0.01273620 
160, 0.01155510 
160, 0.00584560 
160, 0.01440570 
160, 0.01276610 
160, 0.00646600 
160, 0.01125550 
160, 0.00753940 
160, 0.00899390 
160, 0.01261380 
160, 0.01203340 
160, 0.01086480 
160, 0.00616480 
170, 0.00783880 
170, 0.01917360 
170, 0.00899330 
170, 0.00860200 
170, 0.01348190 
170, 0.01929590 
170, 0.01219030 
170, 0.00646560 
170, 0.01570920 
170, 0.00683970 
170, 0.01238730 
170, 0.00753600 
170, 0.00925360 
170, 0.00854780 
170, 0.01169060 
170, 0.00771860 
170, 0.01362980 
170, 0.01109810 
170, 0.01377510 
170, 0.00609530 
170, 0.00715700 
170, 0.01203390 
170, 0.00710080 
170, 0.00727080 
170, 0.00647870 
170, 0.01201810 
170, 0.01199490 
170, 0.00602050 
170, 0.00750590 
170, 0.00681190 
170, 0.00806180 
170, 0.00705540 
170, 0.01240900 
170, 0.01597760 
170, 0.00955250 
170, 0.00616160 
170, 0.01203580 
170, 0.01237390 
170, 0.01114600 
170, 0.00646440 
170, 0.01290260 
170, 0.01232410 
170, 0.01258170 
170, 0.00633500 
170, 0.01136400 
170, 0.01196280 
170, 0.01211510 
170, 0.00605920 
170, 0.01227470 
170, 0.00643180 
180, 0.01824830 
180, 0.00821960 
180, 0.01649730 
180, 0.01656410 
180, 0.00840870 
180, 0.00909280 
180, 0.01287740 
180, 0.00856900 
180, 0.00866850 
180, 0.00789620 
180, 0.00732670 
180, 0.00736040 
180, 0.00929240 
180, 0.01648700 
180, 0.01319220 
180, 0.00784790 
180, 0.00846280 
180, 0.00839200 
180, 0.01579800 
180, 0.02227170 
180, 0.01386690 
180, 0.01365270 
180, 0.01559680 
180, 0.00772740 
180, 0.01554850 
180, 0.01122270 
180, 0.01388090 
180, 0.01355560 
180, 0.01378600 
180, 0.01565100 
180, 0.01799020 
180, 0.01895030 
180, 0.00951350 
180, 0.01731240 
180, 0.00888310 
180, 0.01183520 
180, 0.01096590 
180, 0.01371830 
180, 0.00589910 
180, 0.00513980 
180, 0.00495340 
180, 0.00479150 
180, 0.00497800 
180, 0.00522120 
180, 0.00483990 
180, 0.00501040 
180, 0.00599340 
180, 0.00749960 
180, 0.00496350 
180, 0.00483010 
190, 0.00527420 
190, 0.00493420 
190, 0.00497070 
190, 0.00596330 
190, 0.01229910 
190, 0.00760480 
190, 0.00822850 
190, 0.00792610 
190, 0.00772400 
190, 0.00731170 
190, 0.00755170 
190, 0.00748410 
190, 0.01240540 
190, 0.00918570 
190, 0.00744000 
190, 0.00797950 
190, 0.00799340 
190, 0.00939930 
190, 0.00787280 
190, 0.00849950 
190, 0.01194470 
190, 0.01486070 
190, 0.01452750 
190, 0.01474360 
190, 0.01837280 
190, 0.02057410 
190, 0.01632510 
190, 0.00755770 
190, 0.02456170 
190, 0.01995140 
190, 0.01982640 
190, 0.01227300 
190, 0.01320610 
190, 0.01755250 
190, 0.01250330 
190, 0.01060640 
190, 0.00824050 
190, 0.00996360 
190, 0.00875580 
190, 0.01137660 
190, 0.00884010 
190, 0.01068460 
190, 0.01970240 
190, 0.01920110 
190, 0.01700000 
190, 0.01018660 
190, 0.01651850 
190, 0.01600590 
190, 0.00871720 
190, 0.01662810 
200, 0.01780530 
200, 0.01064230 
200, 0.01848490 
200, 0.01895380 
200, 0.01705410 
200, 0.01334320 
200, 0.00896040 
200, 0.01995650 
200, 0.01057890 
200, 0.01547600 
200, 0.01820750 
200, 0.01158890 
200, 0.01798470 
200, 0.01771390 
200, 0.01856410 
200, 0.01197110 
200, 0.01513980 
200, 0.01970870 
200, 0.01452150 
200, 0.00841410 
200, 0.01570350 
200, 0.01977900 
200, 0.01870130 
200, 0.01215190 
200, 0.01661610 
200, 0.01097480 
200, 0.01222900 
200, 0.01905320 
200, 0.02321040 
200, 0.01021150 
200, 0.00930210 
200, 0.02039270 
200, 0.02070830 
200, 0.01546030 
200, 0.00939150 
200, 0.01679000 
200, 0.00843060 
200, 0.02307360 
200, 0.01787740 
200, 0.00980080 
200, 0.01612750 
200, 0.02399490 
200, 0.00998800 
200, 0.01597890 
200, 0.00846510 
200, 0.01569410 
200, 0.01880300 
200, 0.01833470 
200, 0.10475410 
200, 0.01684360 
210, 0.02863500 
210, 0.02383820 
210, 0.02253710 
210, 0.01773550 
210, 0.02226380 
210, 0.02292950 
210, 0.02584010 
210, 0.01791590 
210, 0.02167230 
210, 0.03137010 
210, 0.02621070 
210, 0.04147880 
210, 0.02869560 
210, 0.03246470 
210, 0.04815620 
210, 0.01775370 
210, 0.03486600 
210, 0.04242310 
210, 0.02409840 
210, 0.03524200 
210, 0.02793210 
210, 0.03465750 
210, 0.03445630 
210, 0.02744810 
210, 0.02086790 
210, 0.01478750 
210, 0.03358540 
210, 0.02612020 
210, 0.03118760 
210, 0.01573870 
210, 0.03480870 
210, 0.01921830 
210, 0.02343350 
210, 0.01550270 
210, 0.02432100 
210, 0.02262790 
210, 0.03795090 
210, 0.02418070 
210, 0.03589790 
210, 0.01432560 
210, 0.02306670 
210, 0.01025720 
210, 0.04084620 
210, 0.01290300 
210, 0.00979940 
210, 0.01832820 
210, 0.02115200 
210, 0.01102170 
210, 0.01987400 
210, 0.01258450 
220, 0.03693470 
220, 0.03804940 
220, 0.02568350 
220, 0.03660730 
220, 0.02674660 
220, 0.04871910 
220, 0.02232210 
220, 0.04064130 
220, 0.04251210 
220, 0.04703720 
220, 0.03074020 
220, 0.01922290 
220, 0.01500350 
220, 0.04009430 
220, 0.02990900 
220, 0.01557800 
220, 0.02428110 
220, 0.02515450 
220, 0.01386860 
220, 0.02413190 
220, 0.02612570 
220, 0.01164090 
220, 0.02424500 
220, 0.01297730 
220, 0.04271510 
220, 0.01616320 
220, 0.01588140 
220, 0.03164460 
220, 0.01841760 
220, 0.01601710 
220, 0.04555560 
220, 0.02316430 
220, 0.01846380 
220, 0.01265260 
220, 0.01445900 
220, 0.01432270 
220, 0.01338510 
220, 0.01436630 
220, 0.02665950 
220, 0.01745680 
220, 0.01570670 
220, 0.01512250 
220, 0.01466130 
220, 0.02178220 
220, 0.02079270 
220, 0.01626760 
220, 0.01636660 
220, 0.01363370 
220, 0.02929010 
220, 0.01951870 
230, 0.01924720 
230, 0.02838190 
230, 0.04104830 
230, 0.02646520 
230, 0.02465150 
230, 0.04640590 
230, 0.01968370 
