Numero de parejas, Tiempo de ejecución
10, 0.00007940 
10, 0.00022980 
10, 0.00017970 
10, 0.00015630 
10, 0.00024570 
10, 0.00008720 
10, 0.00012940 
10, 0.00023290 
10, 0.00010140 
10, 0.00010590 
10, 0.00012550 
10, 0.00010770 
10, 0.00008440 
10, 0.00008400 
10, 0.00008320 
10, 0.00010540 
10, 0.00009440 
10, 0.00007920 
10, 0.00007600 
10, 0.00007920 
20, 0.00015530 
20, 0.00042310 
20, 0.00016100 
20, 0.00017580 
20, 0.00016380 
20, 0.00024180 
20, 0.00015560 
20, 0.00015510 
20, 0.00014340 
20, 0.00014770 
20, 0.00016350 
20, 0.00015480 
20, 0.00015010 
20, 0.00017250 
20, 0.00016000 
20, 0.00014860 
20, 0.00015360 
20, 0.00014880 
20, 0.00018840 
20, 0.00015320 
30, 0.00035870 
30, 0.00055210 
30, 0.00031040 
30, 0.00026370 
30, 0.00030210 
30, 0.00027220 
30, 0.00040140 
30, 0.00026220 
30, 0.00026880 
30, 0.00026730 
30, 0.00027620 
30, 0.00033510 
30, 0.00067660 
30, 0.00038420 
30, 0.00035040 
30, 0.00032670 
30, 0.00061480 
30, 0.00069540 
30, 0.00027970 
30, 0.00029270 
40, 0.00038400 
40, 0.00034680 
40, 0.00033100 
40, 0.00036240 
40, 0.00035070 
40, 0.00041090 
40, 0.00035220 
40, 0.00050370 
40, 0.00031700 
40, 0.00033450 
40, 0.00035810 
40, 0.00034510 
40, 0.00032030 
40, 0.00037030 
40, 0.00033420 
40, 0.00053190 
40, 0.00071210 
40, 0.00053590 
40, 0.00050210 
40, 0.00051390 
50, 0.00084870 
50, 0.00197990 
50, 0.00084770 
50, 0.00082410 
50, 0.00044800 
50, 0.00076440 
50, 0.00130570 
50, 0.00103980 
50, 0.00086050 
50, 0.00088190 
50, 0.00101200 
50, 0.00079120 
50, 0.00082390 
50, 0.00044530 
50, 0.00074130 
50, 0.00076810 
50, 0.00148090 
50, 0.00077810 
50, 0.00083200 
50, 0.00081270 
60, 0.00113500 
60, 0.00106950 
60, 0.00092580 
60, 0.00098720 
60, 0.00093800 
60, 0.00187760 
60, 0.00122230 
60, 0.00119140 
60, 0.00148470 
60, 0.00143940 
60, 0.00057000 
60, 0.00054800 
60, 0.00055770 
60, 0.00058050 
60, 0.00105050 
60, 0.00102330 
60, 0.00063030 
60, 0.00214890 
60, 0.00114050 
60, 0.00104630 
70, 0.00146210 
70, 0.00135950 
70, 0.00149050 
70, 0.00143010 
70, 0.00148420 
70, 0.00086670 
70, 0.00084920 
70, 0.00080920 
70, 0.00077790 
70, 0.00077990 
70, 0.00081740 
70, 0.00078000 
70, 0.00130920 
70, 0.00093450 
70, 0.00081040 
70, 0.00079580 
70, 0.00075250 
70, 0.00083240 
70, 0.00076780 
70, 0.00075960 
80, 0.00083240 
80, 0.00085720 
80, 0.00083750 
80, 0.00124140 
80, 0.00089730 
80, 0.00204250 
80, 0.00101730 
80, 0.00100670 
80, 0.00081860 
80, 0.00085970 
80, 0.00183730 
80, 0.00090430 
80, 0.00091260 
80, 0.00083120 
80, 0.00087560 
80, 0.00084680 
80, 0.00092010 
80, 0.00104210 
80, 0.00084780 
80, 0.00090300 
90, 0.00220530 
90, 0.00127640 
90, 0.00389190 
90, 0.00150800 
90, 0.00452230 
90, 0.00151790 
90, 0.00124570 
90, 0.00116000 
90, 0.00119250 
90, 0.00109580 
90, 0.00115330 
90, 0.00123450 
90, 0.00115640 
90, 0.00109020 
90, 0.00111800 
90, 0.00112540 
90, 0.00164670 
90, 0.00121070 
90, 0.00130550 
90, 0.00160760 
100, 0.00127110 
100, 0.00124510 
100, 0.00123150 
100, 0.00236760 
100, 0.00143590 
100, 0.00125210 
100, 0.00183340 
100, 0.00144950 
100, 0.00128100 
100, 0.00126930 
100, 0.00130160 
100, 0.00124030 
100, 0.00294410 
100, 0.00164870 
100, 0.00336590 
100, 0.00131910 
100, 0.00128160 
100, 0.00155370 
100, 0.00117920 
100, 0.00127110 
110, 0.00308770 
110, 0.00176190 
110, 0.00184910 
110, 0.00249510 
110, 0.00216230 
110, 0.00180220 
110, 0.00170380 
110, 0.00187240 
110, 0.00187480 
110, 0.00179710 
110, 0.00408090 
110, 0.00252020 
110, 0.00406630 
110, 0.00263270 
110, 0.00181470 
110, 0.00186610 
110, 0.00186260 
110, 0.00177820 
110, 0.00181790 
110, 0.00188890 
120, 0.00237810 
120, 0.00224650 
120, 0.00181910 
120, 0.00185140 
120, 0.00215410 
120, 0.00256190 
120, 0.00307140 
120, 0.00375870 
120, 0.00186200 
120, 0.00189050 
120, 0.00186010 
120, 0.00181520 
120, 0.00208630 
120, 0.00192440 
120, 0.00193850 
120, 0.00257900 
120, 0.00184240 
120, 0.00269770 
120, 0.00203420 
120, 0.00198410 
130, 0.00476220 
130, 0.00391340 
130, 0.00215100 
